date,time,message
8/26/2017,21:02.0,need upgrade groups: (
8/26/2017,21:02.0,wating connect state 0 => 2
8/26/2017,21:02.0,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:02.1,handle state init => download_init
8/26/2017,21:02.1,need upgrade groups: (
8/26/2017,21:02.1,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:02.1,need upgrade groups: (
8/26/2017,21:02.1,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:02.4,need upgrade groups: (
8/26/2017,21:02.4,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:03.4,need upgrade groups: (
8/26/2017,21:03.4,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:03.5,need upgrade groups: (
8/26/2017,21:03.5,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.5,need upgrade groups: (
8/26/2017,21:03.5,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.5,need upgrade groups: (
8/26/2017,21:03.5,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.5,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:03.6,need upgrade groups: (
8/26/2017,21:03.6,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:04.4,need upgrade groups: (
8/26/2017,21:04.4,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:04.4,need upgrade groups: (
8/26/2017,21:04.4,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:05.6,need upgrade groups: (
8/26/2017,21:05.6,set callback: <__NSStackBlock__: 0x16fd6dcd8>
8/26/2017,21:08.4,need upgrade groups: (
8/26/2017,21:08.4,set callback: <__NSStackBlock__: 0x16fd6ddf8>
8/26/2017,21:50.6,need upgrade groups: (
8/26/2017,21:50.7,handle state init => download_init
8/26/2017,21:51.5,wating connect state 0 => 1
8/26/2017,23:50.0,need upgrade groups: (
8/26/2017,23:50.1,handle state init => download_init
8/26/2017,23:50.5,need upgrade groups: (
8/26/2017,23:50.5,need upgrade groups: (
8/26/2017,23:52.9,need upgrade groups: (
8/26/2017,23:52.9,need upgrade groups: (
8/26/2017,23:53.6,need upgrade groups: (
8/26/2017,23:53.6,need upgrade groups: (
8/26/2017,24:52.0,handle state download_init => downloading
8/26/2017,24:52.1,download pack version: 01.01.0010
8/26/2017,24:52.1,start download wm620_0801_v01.00.00.82_20170601.pro.fw.sig
8/26/2017,24:52.5,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/a3af7cc5-620e-4450-8c82-08836cea0de2/wm620_0801_v01.00.00.82_20170601.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222452Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=9adf8c30536d693f09033aa8cda98580ad62aabc822dec2ea400b28d731d4f23
8/26/2017,25:27.4,start download completed wm620_0801_v01.00.00.82_20170601.pro.fw.sig
8/26/2017,25:27.4,start download wm620_0900_v01.06.00.00_20170608.pro.fw.sig
8/26/2017,25:27.9,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/f83d6951-dfd9-4ce2-a8d7-93659e359eef/wm620_0900_v01.06.00.00_20170608.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222527Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=b7e1b0bf604b54edba14ad7fb954d106e9a80f91a3c66337ad6175b03a0035c1
8/26/2017,25:28.1,start download completed wm620_0900_v01.06.00.00_20170608.pro.fw.sig
8/26/2017,25:28.1,start download wm620_0305_v34.10.00.21_20160621.pro.fw.sig
8/26/2017,25:28.5,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/7842623d-9bc8-4315-b0fd-bef957da7bde/7263a553135df3208d73340466580433.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222528Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=c014f27fa9bdf138d0a017112fe6cd0c03c4fc1547188e4b47441e96f616e6b8
8/26/2017,25:28.6,start download completed wm620_0305_v34.10.00.21_20160621.pro.fw.sig
8/26/2017,25:28.6,start download wm620_0306_v03.02.35.05_20170525.pro.fw.sig
8/26/2017,25:28.9,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/e07022e9-484a-4bda-a522-82d66c3b1d2e/wm620_0306_v03.02.35.05_20170525.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222528Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=532900f27a8ff788f447e67e2f96a92bd8353b34f2f68b829dc8898c485c3720
8/26/2017,25:29.7,start download completed wm620_0306_v03.02.35.05_20170525.pro.fw.sig
8/26/2017,25:29.7,start download wm620_0905_v01.00.01.04_20170527.pro.fw.sig
8/26/2017,25:30.1,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/0c8d5f2e-4f2a-4ba7-bd60-01df9da7b886/wm620_0905_v01.00.01.04_20170527.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222530Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=856af89dd3de1809449c6192b46e26bbc1c95512555024d5e1022f90563d1e5f
8/26/2017,25:30.8,start download completed wm620_0905_v01.00.01.04_20170527.pro.fw.sig
8/26/2017,25:30.8,start download wm620_1200_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:31.3,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/47641c69-c28e-44da-ac84-905407385aea/73fd6499a7e9f3e46d500ccd4a1a8264.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222531Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=7760550fba952172d8e2ab8a798c9802b6adc7f3771b8843c17fcbb19d172bb0
8/26/2017,25:31.3,start download completed wm620_1200_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:31.3,start download wm620_1201_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:31.7,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/aa58ac8f-df45-42cd-92a8-aa0c5a31d2fc/0fbce076080edb5c669d1edbc46f49b7.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222531Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=6b58b1f5c36630fcc77b98ef4aaebaf442218ad295b8756721f8ef5dbffb05dd
8/26/2017,25:31.8,start download completed wm620_1201_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:31.8,start download wm620_1202_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:32.1,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/fecae501-10bb-470f-8e36-88fb20ba7bff/89ea36d1c31943de34b027bfacc82e1b.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222532Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=9f8a0e3f91e6c38675d7bf7a8e7fe5d4dd75436a5c8e287b85f31909864e64a3
8/26/2017,25:32.2,start download completed wm620_1202_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:32.2,start download wm620_1203_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:32.6,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/e68a3c87-3a8b-49fb-90d0-f5b6c80beb4b/e1d580d4577dadc2e268f49169bfd9f2.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222532Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=7b5801d46fd7d84b824f822cdf6270804900ca6a30908a1ef8f0ea313a514a8e
8/26/2017,25:32.7,start download completed wm620_1203_v01.02.00.46_20160918.pro.fw.sig
8/26/2017,25:32.7,start download wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig
8/26/2017,25:33.0,start download pack http://pro-dji-service-usa-cdn.aasky.net/firmware_file/4b407e45-1683-4ee8-b97c-b0ae5ff8b36f/wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIITWQE7WYGWJGNYQ%2F20170826%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20170826T222532Z&X-Amz-Expires=900&X-Amz-SignedHeaders=host&X-Amz-Signature=03807246899c341c7f308cad1d0a4dc09139010f8dae23b9374e1bc866e8d5b0
8/26/2017,25:33.5,start download completed wm620_0400_v01.00.00.32_20170329_gb02.pro.fw.sig
8/26/2017,25:33.5,start download wm620_0400_v01.00.00.77_20170410_gb01.pro.fw.sig
